"Employment Income Statistics in 2010 (7), Sex (3), Work Activity in 2010 (3), Highest Certificate, Diploma or Degree (6) and Occupation - National Occupational Classification (NOC) 2011 (693) for the Population Aged 15 Years and Over in Private Households of Canada, Provinces and Territories, 2011 National Household Survey"
"Geography = Canada [1]"
"Global non-response rate (GNR) [2] =  26.1 %"
"Sex (3) =   Male"
"Work activity in 2010 (3) = Total - Work activity in 2010"
"Highest certificate, diploma or degree (6) = Total - Highest certificate, diploma or degree [3]"
"Occupation - National Occupational Classification (NOC) 2011 (693)","Total - Employment income statistics in 2010 [4]","  With employment income","    Median employment income [5]","    Average employment income [6]","  With wages and salaries","    Median wages and salaries [7]","    Average wages and salaries [8]", 
"        341 Assisting occupations in support of health services",38135,35810,33225,32142,35360,33350,31952 
"          3411 Dental assistants",640,590,22365,28631,555,22318,28130 
"          3413 Nurse aides, orderlies and patient service associates",31060,29195,33202,32029,28905,33264,31816 
"          3414 Other assisting occupations in support of health services",6435,6030,34148,33032,5895,34452,32981 
"    4 Occupations in education, law and social, community and government services",734935,696100,59958,66197,658255,60131,63121 
"      40 Professional occupations in education services",271085,257715,61268,60037,252990,62076,60218 
"        401 University professors and post-secondary assistants",87515,80575,36142,58873,79605,36398,58169 
"          4011 University professors and lecturers",46255,43755,90408,91659,43175,90589,90627 
"          4012 Post-secondary teaching and research assistants",41260,36820,10157,19909,36430,10101,19696 
"        402 College and other vocational instructors",52970,50455,59251,57818,47945,60559,59095 
"          4021 College and other vocational instructors",52970,50455,59251,57818,47945,60559,59095 
"        403 Secondary and elementary school teachers and educational counsellors",130600,126685,67255,61660,125435,67624,61948 
"          4031 Secondary school teachers",78055,75860,68856,63112,75080,69296,63470 
"          4032 Elementary school and kindergarten teachers",47340,45840,65666,60366,45470,65819,60540 
"          4033 Educational counsellors",5200,4980,54789,51450,4885,55075,51650 
"      41 Professional occupations in law and social, community and government services",201115,189160,60893,86699,163690,59954,75004 
"        411 Judges, lawyers and Quebec notaries",51440,49175,107671,163120,33805,97558,127699 
"          4111 Judges",2105,2070,228648,205231,2005,229550,205103 
"          4112 Lawyers and Quebec notaries",49330,47105,104498,161269,31800,91840,122829 
